//id -> lv -> resource -> number of resouce -> number of screw -> number of certain screw
// 2	12.7cm連装砲
2A	0-5		0	1	2
28A	max	22号対水上電探	3	8	14

// 88	22号対水上電探改四
88A	0-5	22号対水上電探	1	3	4
88A	6-9	22号対水上電探改四	1	4	8
88A	max		0	0	0

// 30	21号対空電探
30A	0-5		0	2	3
30A	6-9	21号対空電探	1	3	5
30A	max	21号対空電探	2	5	13

// 89	21号対空電探改
89A	0-5	21号対空電探	1	2	3
89A	6-9	21号対空電探	2	4	8
89A	max		0	0	0

// 31	32号対水上電探
31A	0-5	22号対水上電探	1	3	4
31A	6-9	22号対水上電探	2	4	7
31A	max	32号対水上電探	1	10	15

// 141	32号対水上電探改
141A	0-5	22号対水上電探	3	5	6
141A	6-9	32号対水上電探	1	7	10
141A	max		0	0	0

// 46	九三式水中聴音機
46A	0-5		0	1	2
46A	6-9	九三式水中聴音機	1	2	3
46A	max	九三式水中聴音機	2	3	5
46B	0-5		0	1	2
46B	6-9	九三式水中聴音機	1	2	3
46B	max	三式水中探信儀	2	6	12

// 47	三式水中探信儀
47A	0-5		0	2	3
47A	6-9	三式水中探信儀	1	3	5
47A	max		0	0	0

// 149	四式水中聴音機
149A	0-5	九三式水中聴音機	2	3	5
149A	6-9	四式水中聴音機	1	4	6
149A	max		0	0	0

// 44	九四式爆雷投射機
44A	0-5		0	1	2
44A	6-9	九四式爆雷投射機	1	1	3
44A	max	九四式爆雷投射機	2	3	8

// 45	三式爆雷投射機
45A	0-5		0	2	3
45A	6-9	三式爆雷投射機	1	2	4
45A	max		0	0	0

// 36	九一式徹甲弾
36A	0-5		0	1	1
36A	6-9	九一式徹甲弾	1	1	2
36A	max	九一式徹甲弾	3	4	9

// 116	一式徹甲弾
116A	0-5	九一式徹甲弾	2	1	1
116A	6-9	一式徹甲弾	1	2	4
116A	max		0	0	0

// 49	25mm単装機銃
49A	0-5		0	1	1
49A	6-9	25mm単装機銃	1	1	1
49A	max	25mm単装機銃	1	1	2

// 39	25mm連装機銃
39A	0-5		0	1	1
39A	6-9	25mm連装機銃	1	1	2
39A	max	25mm連装機銃	1	1	2

// 40	25mm三連装機銃
40A	0-5		0	1	1
40A	6-9	25mm三連装機銃	1	1	2
40A	max	25mm三連装機銃	5	3	7
40B	0-5		0	1	1
40B	6-9	25mm三連装機銃	1	1	2
40B	max		0	0	0

// 120	91式高射装置
120A	0-5		0	1	2
120A	6-9	12.7cm連装高角砲	1	2	4
120A	max	10cm連装高角砲	2	4	7

// 121	94式高射装置
121A	0-5		0	2	3
121A	6-9	10cm連装高角砲	1	3	5
121A	max	10cm連装高角砲	2	5	10
121B	0-5		0	2	3
121B	6-9	12.7cm連装高角砲	1	3	5
121B	max	12.7cm連装高角砲	2	5	9

// 68	大発動艇
68A	0-5	ドラム缶(輸送用)	1	1	2
68A	6-9	7.7mm機銃	1	2	3
68A	max	12.7mm単装機銃	3	3	7

// 166	大発動艇(八九式中戦車&陸戦隊)
166A	0-5	25mm単装機銃	1	2	3
166A	6-9	12cm30連装噴進砲	2	3	5
166A	max	7.7mm機銃	3	5	9

// 167	特二式内火艇
167A	0-5	7.7mm機銃	2	3	4
167A	6-9	12.7mm単装機銃	3	4	6
167A	max		0	0	0

// 74	探照灯
74A	0-5		0	2	3
74A	6-9	探照灯	1	2	4
74A	max	熟練見張員	1	3	7

// 140	96式150cm探照灯
140A	0-5	探照灯	1	3	4
140A	6-9	探照灯	1	3	7
140A	max		0	0	0

