//id -> lv -> resource -> number of resouce -> number of screw -> number of certain screw
// 2	12.7cm連装砲
2A	0-5		0	1	2

// 179	試製61cm六連装(酸素)魚雷
179A	0-5	61cm四連装(酸素)魚雷	2	5	6
179A	6-9	61cm五連装(酸素)魚雷	1	6	12
179A	max		0	0	0

// 283	533mm 三連装魚雷
283A	0-5	61cm三連装魚雷	1	2	3
283A	6-9	61cm四連装(酸素)魚雷	2	3	4
283A	max		0	0	0

// 19	九六式艦戦
19A	0-5	九六式艦戦	1	1	2
19A	6-9	7.7mm機銃	1	1	3
19A	max	九六式艦戦	2	2	4

// 20	零式艦戦21型
20A	0-5	零式艦戦21型	1	2	3
20A	6-9	零式艦戦21型	2	2	4
20A	max	7.7mm機銃	2	3	5

// 96	零式艦戦21型(熟練)
96A	0-5	零式艦戦21型	2	2	3
96A	6-9	零式艦戦21型	3	2	5
96A	max	7.7mm機銃	3	3	5

// 181	零式艦戦32型
181A	0-5	零式艦戦21型	1	2	3
181A	6-9	零式艦戦21型	2	3	4
181A	max	零式艦戦32型	1	4	6

// 182	零式艦戦32型(熟練)
182A	0-5	零式艦戦21型	2	2	3
182A	6-9	零式艦戦21型	3	3	5
182A	max	零式艦戦32型	2	4	6

// 21	零式艦戦52型
21A	0-5	零式艦戦52型	1	3	4
21A	6-9	零式艦戦52型	2	3	5
21A	max		0	0	0

// 152	零式艦戦52型(熟練)
152A	0-5	零式艦戦52型	2	3	5
152A	6-9	零式艦戦52型	3	4	6
152A	max		0	0	0

// 109	零戦52型丙(六〇一空)
109A	0-5	零式艦戦52型	2	3	5
109A	6-9	天山	2	4	6
109A	0-5		0	0	0

// 153	零戦52型丙(付岩井小隊)
153A	0-5	零式艦戦52型	2	3	5
153A	6-9	零式艦戦52型	3	4	6
153A	max		0	0	0

// 156	零戦52型甲(付岩本小隊)
156A	0-5	零式艦戦52型	2	3	5
156A	6-9	零式艦戦52型	3	4	6
156A	max		0	0	0

// 157	零式艦戦53型(岩本隊)
157A	0-5	零式艦戦52型	2	3	5
157A	6-9	零式艦戦52型	3	4	6
157A	max		0	0	0

// 197　F4F-3
197A	0-5		0	2	3
197A	6-9	九六式艦戦	1	2	4
197A	max	12.7mm単装機銃	2	3	5

// 198	F4F-4
198A	0-5	零式艦戦21型	1	3	4
198A	6-9	零式艦戦32型	1	3	6
198A	max	零式艦戦52型	2	6	9

// 205	F6F-3
205A	0-5	零式艦戦52型	2	4	6
205A	6-9	紫電改二	1	6	8
205A	max	紫電改二	2	8	16

// 206	F6F-5
206A	0-5	紫電改二	2	6	7
206A	6-9	烈風	1	8	12
206A	max		0	0	0

// 60	零式艦戦62型(爆戦)
60A	0-5	零式艦戦52型	2	3	5
60A	6-9	彗星	2	4	6
60A	max		0	0	0

// 154	零戦62型(爆戦/岩井隊)
154A	0-5	零式艦戦52型	2	3	5
154A	6-9	彗星	2	4	6
154A	max		0	0	0

// 219 零式艦戦63型(爆戦)
219A	0-5	零式艦戦52型	3	4	6
219A	6-9	烈風	1	5	7
219A	max		0	0	0

// 151	試製景雲(艦偵型)
151A	0-5	流星	1	6	8
151A	6-9	烈風	1	7	10
151A	max	ネ式エンジン	1	10	13

// 25	零式水上偵察機
25A	0-5	零式水上偵察機	1	2	3
25A	6-9	零式水上偵察機	2	3	5
25A	max	零式艦戦21型	3	5	10

// 59	零式水上観測機
59A	0-5	瑞雲	1	3	5
59A	6-9	零式水上観測機	1	4	7
59A	max		0	0	0

// 102	九八式水上偵察機(夜偵)
102A	0-5	零式水上偵察機	1	3	4
102A	6-9	零式水上偵察機	2	4	8
102A	max		0	0	0

// 163	Ro.43水偵
163A	0-5	零式水上偵察機	1	1	2
163A	6-9	瑞雲	1	2	4
163A	max	零式水上偵察機	2	3	5

// 165	二式水戦改
165A	0-5	零式艦戦21型	2	5	6
165A	6-9	零式水上偵察機	2	7	8
165A	max	瑞雲	2	9	16

// 216	二式水戦改(熟練)
216A	0-5	零式艦戦32型	2	7	8
216A	6-9	瑞雲	3	8	10
216A	max		0	0	0

// 217	強風改
217A	0-5	紫電改二	1	6	8
217A	6-9	紫電改二	1	7	11
217A	max		0	0	0

// 164	Ro.44水上戦闘機
164A	0-5	瑞雲	1	3	4
164A	6-9	瑞雲	2	5	6
164A	max	Ro.44水上戦闘機	1	8	12

// 215	Ro.44水上戦闘機bis
215A	0-5	瑞雲	2	4	5
215A	6-9	Ro.44水上戦闘機	1	6	7
215A	max		0	0	0

// 26	瑞雲
26A	0-5	瑞雲	1	3	4
26A	6-9	瑞雲	1	5	7
26A	max	熟練x1　瑞雲	2	7	10

// 79	瑞雲(六三四空)
79A	0-5	瑞雲	1	5	6
79A	6-9	瑞雲	2	6	8
79A	max		0	0	0

// 237	瑞雲(六三四空/熟練)
237A	0-5	瑞雲	2	6	7
237A	6-9	瑞雲	3	7	9
237A	max		0	0	0

// 27	13号対空電探
27A	0-5		0	2	3
27A	6-9	13号対空電探	1	3	5
27A	max	21号対空電探	1	5	12

// 106	13号対空電探改
106A	0-5	13号対空電探	1	3	4
106A	6-9	13号対空電探	2	4	8
106A	max		0	0	0

// 28	22号対水上電探
28A	0-5	22号対水上電探	1	2	3
28A	6-9	22号対水上電探	2	3	5
28A	max	22号対水上電探	3	8	14

// 88	22号対水上電探改四
88A	0-5	22号対水上電探	1	3	4
88A	6-9	22号対水上電探改四	1	4	8
88A	max		0	0	0

// 30	21号対空電探
30A	0-5		0	2	3
30A	6-9	21号対空電探	1	3	5
30A	max	21号対空電探	2	5	13

// 89	21号対空電探改
89A	0-5	21号対空電探	1	2	3
89A	6-9	21号対空電探	2	4	8
89A	max		0	0	0

// 31	32号対水上電探
31A	0-5	22号対水上電探	1	3	4
31A	6-9	22号対水上電探	2	4	7
31A	max	32号対水上電探	1	10	15

// 141	32号対水上電探改
141A	0-5	22号対水上電探	3	5	6
141A	6-9	32号対水上電探	1	7	10
141A	max		0	0	0

// 46	九三式水中聴音機
46A	0-5		0	1	2
46A	6-9	九三式水中聴音機	1	2	3
46A	max	九三式水中聴音機	2	3	5
46B	0-5		0	1	2
46B	6-9	九三式水中聴音機	1	2	3
46B	max	三式水中探信儀	2	6	12

// 47	三式水中探信儀
47A	0-5		0	2	3
47A	6-9	三式水中探信儀	1	3	5
47A	max		0	0	0

// 149	四式水中聴音機
149A	0-5	九三式水中聴音機	2	3	5
149A	6-9	四式水中聴音機	1	4	6
149A	max		0	0	0

// 44	九四式爆雷投射機
44A	0-5		0	1	2
44A	6-9	九四式爆雷投射機	1	1	3
44A	max	九四式爆雷投射機	2	3	8

// 45	三式爆雷投射機
45A	0-5		0	2	3
45A	6-9	三式爆雷投射機	1	2	4
45A	max		0	0	0

// 226	九五式爆雷
226A	0-5		0	1	1
226A	6-9	九五式爆雷	1	2	3
226A	max	九五式爆雷	2	3	6

// 36	九一式徹甲弾
36A	0-5		0	1	1
36A	6-9	九一式徹甲弾	1	1	2
36A	max	九一式徹甲弾	3	4	9

// 116	一式徹甲弾
116A	0-5	九一式徹甲弾	2	1	1
116A	6-9	一式徹甲弾	1	2	4
116A	max		0	0	0

// 49	25mm単装機銃
49A	0-5		0	1	1
49A	6-9	25mm単装機銃	1	1	1
49A	max	25mm単装機銃	1	1	2

// 39	25mm連装機銃
39A	0-5		0	1	1
39A	6-9	25mm連装機銃	1	1	2
39A	max	25mm連装機銃	1	1	2

// 40	25mm三連装機銃
40A	0-5		0	1	1
40A	6-9	25mm三連装機銃	1	1	2
40A	max	25mm三連装機銃	5	3	7
40B	0-5		0	1	1
40B	6-9	25mm三連装機銃	1	1	2
40B	max		0	0	0

// 131	25mm三連装機銃 集中配備
131A	0-5	25mm三連装機銃	3	3	5
131A	6-9	25mm三連装機銃	5	6	9
131A	max		0	0	0

// 51	12cm30連装噴進砲
51A	0-5	12cm30連装噴進砲	1	2	3
51A	6-9	12cm30連装噴進砲	2	3	5
51A	max	詳報x1  25mm三連装機銃	3	7	10

// 274	12cm30連装噴進砲改二
274A	0-5	25mm三連装機銃	2	4	5
274A	6-9	12cm30連装噴進砲	2	5	7
274A	max		0	0	0

// 120	91式高射装置
120A	0-5		0	1	2
120A	6-9	12.7cm連装高角砲	1	2	4
120A	max	10cm連装高角砲	2	4	7

// 121	94式高射装置
121A	0-5		0	2	3
121A	6-9	10cm連装高角砲	1	3	5
121A	max	10cm連装高角砲	2	5	10
121B	0-5		0	2	3
121B	6-9	12.7cm連装高角砲	1	3	5
121B	max	12.7cm連装高角砲	2	5	9

// 68	大発動艇
68A	0-5	ドラム缶(輸送用)	1	1	2
68A	6-9	7.7mm機銃	1	2	3
68A	max	12.7mm単装機銃	3	3	7
68B	0-5	ドラム缶(輸送用)	1	1	2
68B	6-9	7.7mm機銃	1	2	3
68B	max	大発動艇	4	6	12

// 166	大発動艇(八九式中戦車&陸戦隊)
166A	0-5	25mm単装機銃	1	2	3
166A	6-9	12cm30連装噴進砲	2	3	5
166A	max	7.7mm機銃	3	5	9

// 193	特大発動艇
193A	0-5	ドラム缶(輸送用)	2	2	3
193A	6-9	大発動艇	1	4	6
193A	max		0	0	0

// 167	特二式内火艇
167A	0-5	7.7mm機銃	2	3	4
167A	6-9	12.7mm単装機銃	3	4	6
167A	max		0	0	0

// 74	探照灯
74A	0-5		0	2	3
74A	6-9	探照灯	1	2	4
74A	max	熟練見張員	1	3	7

// 140	96式150cm探照灯
140A	0-5	探照灯	1	3	4
140A	6-9	探照灯	1	3	7
140A	max		0	0	0

// 72	増設バルジ(中型艦)
72A	0-5	増設バルジ(中型艦)	1	4	5
72A	6-9	増設バルジ(中型艦)	2	6	9
72A	max	増設バルジ(中型艦)	3	8	12

// 203	艦本新設計 増設バルジ(中型艦)
203A	0-5	増設バルジ(中型艦)	2	6	9
203A	6-9		3	8	12
203A	max		0	0	0

// 73	増設バルジ(大型艦)
73A	0-5	増設バルジ(中型艦)	2	4	5
73A	6-9	増設バルジ(大型艦)	1	6	9
73A	max	増設バルジ(大型艦)	2	8	12

// 204	艦本新設計 増設バルジ(大型艦)
204A	0-5	増設バルジ(大型艦)	1	6	9
204A	6-9	増設バルジ(大型艦)	2	8	12
204A	max		0	0	0

// 34	強化型艦本式缶
34A	0-5	改良型艦本式タービン	1	5	8
34A	6-9	強化型艦本式缶	1	7	9
34A	max	強化型艦本式缶	2	8	12

// 87	新型高温高圧缶
87A	0-5	改良型艦本式タービン	2	8	10
87A	6-9	強化型艦本式缶	2	9	12
87A	max		0	0	0

// 210	潜水艦搭載電探&水防式望遠鏡
210A	0-5	22号対水上電探	2	7	9
210A	6-9	熟練見張員	1	8	10
210A	max		0	0	0

// 145A	戦闘糧食
145A	0-5	戦闘糧食	1	0	0
145A	6-9		0	1	1
145A	max	戦闘糧食	1	0	1

// 221A	一式戦 隼II型
221A	0-5	九六式艦戦	1	2	3
221A	6-9	零式艦戦21型	2	3	5
221A	max	新型資材x1　12.7mm単装機銃	3	6	9

// 222A	一式戦 隼III型甲
222A	0-5	零式艦戦52型	3	4	5
222A	6-9	烈風	2	6	7
222A	max		0	0	0

// 201A	紫電一一型
201A	0-5	零式艦戦52型	2	4	5
201A	6-9	瑞雲	2	6	8
201A	max	紫電改二	2	7	12
