//曜日	装備	二番艦	消費装備	更新消費装備	更新装備
6	22号対水上電探改四	金剛改二	22号対水上電探	22号対水上電探改四	
1	22号対水上電探改四	妙高改二	22号対水上電探	22号対水上電探改四	
5	22号対水上電探改四	妙高改二	22号対水上電探	22号対水上電探改四	
6	22号対水上電探改四	妙高改二	22号対水上電探	22号対水上電探改四	
7	22号対水上電探改四	妙高改二	22号対水上電探	22号対水上電探改四	
1	22号対水上電探改四	羽黒改二	22号対水上電探	22号対水上電探改四	
2	22号対水上電探改四	羽黒改二	22号対水上電探	22号対水上電探改四	
6	22号対水上電探改四	羽黒改二	22号対水上電探	22号対水上電探改四	
7	22号対水上電探改四	羽黒改二	22号対水上電探	22号対水上電探改四	
1	32号対水上電探	日向	22号対水上電探	32号対水上電探	32号対水上電探改
2	32号対水上電探	日向	22号対水上電探	32号対水上電探	32号対水上電探改
3	32号対水上電探	日向	22号対水上電探	32号対水上電探	32号対水上電探改
4	32号対水上電探	伊勢	22号対水上電探	32号対水上電探	32号対水上電探改
5	32号対水上電探	伊勢	22号対水上電探	32号対水上電探	32号対水上電探改
6	32号対水上電探	伊勢	22号対水上電探	32号対水上電探	32号対水上電探改
7	32号対水上電探	伊勢	22号対水上電探	32号対水上電探	32号対水上電探改
1	32号対水上電探改	伊勢	22号対水上電探		
2	32号対水上電探改	伊勢	22号対水上電探		
3	32号対水上電探改	伊勢	22号対水上電探		
4	32号対水上電探改	日向	22号対水上電探		
5	32号対水上電探改	日向	22号対水上電探		
6	32号対水上電探改	日向	22号対水上電探		
7	32号対水上電探改	日向	22号対水上電探		
1	九三式水中聴音機	夕張			三式水中探信儀
6	九三式水中聴音機	夕張			三式水中探信儀
7	九三式水中聴音機	夕張			三式水中探信儀
2	九三式水中聴音機	五十鈴改二			三式水中探信儀
6	九三式水中聴音機	五十鈴改二			三式水中探信儀
7	九三式水中聴音機	五十鈴改二			三式水中探信儀
3	三式水中探信儀	夕張			
4	三式水中探信儀	夕張			
1	三式水中探信儀	五十鈴改二			
3	三式水中探信儀	五十鈴改二			
4	三式水中探信儀	五十鈴改二			
4	九四式爆雷投射機				三式爆雷投射機
5	九四式爆雷投射機				三式爆雷投射機
4	三式爆雷投射機	五十鈴改二			
5	三式爆雷投射機	五十鈴改二			
4	九一式徹甲弾	比叡			一式徹甲弾
5	九一式徹甲弾	比叡			一式徹甲弾
6	九一式徹甲弾	比叡			一式徹甲弾
7	九一式徹甲弾	比叡			一式徹甲弾
1	九一式徹甲弾	霧島			一式徹甲弾
2	九一式徹甲弾	霧島			一式徹甲弾
6	九一式徹甲弾	霧島			一式徹甲弾
7	九一式徹甲弾	霧島			一式徹甲弾
1	一式徹甲弾	金剛			
6	一式徹甲弾	金剛			
7	一式徹甲弾	金剛			
2	一式徹甲弾	比叡			
3	一式徹甲弾	比叡			
4	一式徹甲弾	比叡			
1	25mm連装機銃	五十鈴改二			25mm三連装機銃
6	25mm連装機銃	五十鈴改二			25mm三連装機銃
7	25mm連装機銃	五十鈴改二			25mm三連装機銃
2	25mm三連装機銃	五十鈴改二			25mm三連装機銃 集中配備
3	25mm三連装機銃	五十鈴改二			25mm三連装機銃 集中配備
4	25mm三連装機銃	五十鈴改二			25mm三連装機銃 集中配備
3	25mm三連装機銃	摩耶			
4	25mm三連装機銃	摩耶			
5	25mm三連装機銃	摩耶			
1	25mm三連装機銃	摩耶改二			
2	25mm三連装機銃	摩耶改二			
6	25mm三連装機銃	摩耶改二			
7	25mm三連装機銃	摩耶改二			
1	91式高射装置	摩耶	12.7cm連装高角砲	10cm連装高角砲	94式高射装置
2	91式高射装置	摩耶	12.7cm連装高角砲	10cm連装高角砲	94式高射装置
6	91式高射装置	摩耶	12.7cm連装高角砲	10cm連装高角砲	94式高射装置
7	91式高射装置	摩耶	12.7cm連装高角砲	10cm連装高角砲	94式高射装置
1	91式高射装置	照月	12.7cm連装高角砲	10cm連装高角砲	94式高射装置
5	91式高射装置	照月	12.7cm連装高角砲	10cm連装高角砲	94式高射装置
6	91式高射装置	照月	12.7cm連装高角砲	10cm連装高角砲	94式高射装置
7	91式高射装置	照月	12.7cm連装高角砲	10cm連装高角砲	94式高射装置
1	94式高射装置	秋月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
2	94式高射装置	秋月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
3	94式高射装置	秋月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
4	94式高射装置	秋月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
5	94式高射装置	秋月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
6	94式高射装置	秋月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
7	94式高射装置	秋月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
1	94式高射装置	照月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
2	94式高射装置	照月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
3	94式高射装置	照月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
4	94式高射装置	照月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
5	94式高射装置	照月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
6	94式高射装置	照月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
7	94式高射装置	照月	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
1	94式高射装置	吹雪改二	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
5	94式高射装置	吹雪改二	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
6	94式高射装置	吹雪改二	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
7	94式高射装置	吹雪改二	10cm連装高角砲	10cm連装高角砲	10cm高角砲＋高射装置
1	94式高射装置	摩耶改二	12.7cm連装高角砲	12.7cm連装高角砲	12.7cm高角砲＋高射装置
5	94式高射装置	摩耶改二	12.7cm連装高角砲	12.7cm連装高角砲	12.7cm高角砲＋高射装置
6	94式高射装置	摩耶改二	12.7cm連装高角砲	12.7cm連装高角砲	12.7cm高角砲＋高射装置
7	94式高射装置	摩耶改二	12.7cm連装高角砲	12.7cm連装高角砲	12.7cm高角砲＋高射装置
5	探照灯	暁		熟練見張員	96式150cm探照灯
6	探照灯	暁		熟練見張員	96式150cm探照灯
7	探照灯	暁		熟練見張員	96式150cm探照灯
1	探照灯	神通		熟練見張員	96式150cm探照灯
6	探照灯	神通		熟練見張員	96式150cm探照灯
7	探照灯	神通		熟練見張員	96式150cm探照灯
2	探照灯	青葉		熟練見張員	96式150cm探照灯
3	探照灯	青葉		熟練見張員	96式150cm探照灯
4	探照灯	青葉		熟練見張員	96式150cm探照灯
2	探照灯	綾波		熟練見張員	96式150cm探照灯
3	探照灯	綾波		熟練見張員	96式150cm探照灯
4	探照灯	綾波		熟練見張員	96式150cm探照灯
1	96式150cm探照灯	比叡	探照灯		
2	96式150cm探照灯	比叡	探照灯		
6	96式150cm探照灯	比叡	探照灯		
7	96式150cm探照灯	比叡	探照灯		
3	96式150cm探照灯	霧島	探照灯		
4	96式150cm探照灯	霧島	探照灯		
5	96式150cm探照灯	霧島	探照灯		
6	96式150cm探照灯	霧島	探照灯		
